case_id,activities,resources,months,trace_attr_seriousness,trace_attr_customer,trace_attr_seriousness_2,"y_('>>', 'Assign seriousness')","y_('Create SW anomaly', '>>')","y_('Require upgrade', '>>')","y_('Resolve ticket', '>>')","y_('Take in charge ticket', '>>')","y_('Wait', '>>')"
"('Case 100', 2)","[1, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[29, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,333,0,0,0,1,0,0,0
"('Case 100', 3)","[1, 12, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 22, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[29, 29, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,333,0,0,0,0,0,0,0
"('Case 100', 4)","[1, 12, 8, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 22, 22, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[29, 29, 29, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,333,0,0,0,0,0,0,0
"('Case 100', 5)","[1, 12, 8, 10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 22, 22, 12, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[29, 29, 29, 33, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,333,0,0,0,0,0,0,0
"('Case 1000', 1)","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,386,1,0,0,0,0,0,0
"('Case 1000', 2)","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[13, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,386,1,0,0,0,0,0,0
"('Case 1000', 3)","[1, 1, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12, 12, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[13, 13, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,386,1,0,0,0,0,0,0
"('Case 1000', 4)","[1, 1, 12, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12, 12, 12, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[13, 13, 13, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,386,1,0,0,0,0,0,0
"('Case 1000', 5)","[1, 1, 12, 10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12, 12, 12, 12, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[13, 13, 13, 13, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,386,1,0,0,0,0,0,0
"('Case 1001', 1)","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,154,0,0,0,0,0,0,0
"('Case 1001', 2)","[1, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[17, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[25, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,154,0,0,0,0,0,0,0
"('Case 1001', 3)","[1, 12, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[17, 17, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[25, 25, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,154,0,0,0,0,0,0,0
"('Case 1001', 4)","[1, 12, 10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[17, 17, 17, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[25, 25, 25, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,154,0,0,0,0,0,0,0
"('Case 1002', 1)","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,89,0,0,0,0,0,0,0
"('Case 1002', 2)","[1, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[42, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,89,0,0,0,0,0,0,0
"('Case 1002', 3)","[1, 12, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 12, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[42, 42, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,89,0,0,0,0,0,0,0
"('Case 1002', 4)","[1, 12, 10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 12, 12, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[42, 42, 42, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,89,0,0,0,0,0,0,0
"('Case 1003', 1)","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,112,1,0,0,0,0,0,0
"('Case 1003', 2)","[1, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[21, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,112,1,0,0,0,0,0,0
"('Case 1003', 3)","[1, 12, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[21, 12, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9, 14, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,112,1,0,0,0,0,0,0
"('Case 1003', 4)","[1, 12, 10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[21, 12, 12, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9, 14, 14, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,112,1,0,0,0,0,0,0
"('Case 1004', 1)","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,188,0,0,0,0,0,0,0
"('Case 1004', 2)","[1, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[47, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,188,0,0,0,0,0,0,0
"('Case 1004', 3)","[1, 12, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 22, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[47, 47, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,188,0,0,0,0,0,0,0
"('Case 1004', 4)","[1, 12, 10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 22, 22, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[47, 47, 47, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,188,0,0,0,0,0,0,0
"('Case 1005', 1)","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,376,1,0,0,0,0,0,0
"('Case 1005', 2)","[1, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[21, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,376,1,0,0,0,0,0,0
"('Case 1005', 3)","[1, 12, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[21, 12, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9, 9, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,376,1,0,0,0,0,0,0
"('Case 1005', 4)","[1, 12, 10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[21, 12, 12, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9, 9, 14, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,376,1,0,0,0,0,0,0
"('Case 1006', 1)","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,172,0,0,0,0,0,0,0
"('Case 1006', 2)","[1, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[13, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,172,0,0,0,0,0,0,0
"('Case 1006', 3)","[1, 12, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12, 12, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[13, 13, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,172,0,0,0,0,0,0,0
"('Case 1006', 4)","[1, 12, 10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12, 12, 12, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[13, 13, 13, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,172,0,0,0,0,0,0,0
"('Case 1007', 1)","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,173,0,0,0,0,0,0,0
"('Case 1007', 2)","[1, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,173,0,0,0,0,0,0,0
"('Case 1007', 3)","[1, 12, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 22, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 3, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,173,0,0,0,0,0,0,0
"('Case 1007', 4)","[1, 12, 10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 22, 4, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 3, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,173,0,0,0,0,0,0,0
"('Case 1008', 1)","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,390,1,0,0,0,0,0,0
"('Case 1008', 2)","[1, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[17, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,390,1,0,0,0,0,0,0
"('Case 1008', 3)","[1, 12, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[17, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,390,1,0,0,0,0,0,0
"('Case 1008', 4)","[1, 12, 10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[17, 8, 8, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2, 6, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,390,1,0,0,0,0,0,0
"('Case 1009', 1)","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,177,0,0,0,0,0,1,0
"('Case 1009', 2)","[1, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[32, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,177,0,0,0,0,0,0,0
"('Case 1009', 3)","[1, 12, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 22, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[32, 32, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,177,0,0,0,0,0,0,0
"('Case 1009', 4)","[1, 12, 14, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 22, 22, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[32, 32, 32, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,177,0,0,0,0,0,0,0
"('Case 1009', 5)","[1, 12, 14, 10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 22, 22, 22, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[32, 32, 32, 32, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,177,0,0,0,0,0,0,0
"('Case 101', 1)","[6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,89,0,0,0,0,0,0,0
"('Case 101', 2)","[6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[34, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,89,0,0,0,0,0,0,0
"('Case 101', 3)","[6, 1, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 7, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[34, 34, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,89,0,0,0,0,0,0,0
"('Case 101', 4)","[6, 1, 12, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 7, 12, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[34, 34, 34, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,89,0,0,0,0,0,0,0
"('Case 101', 5)","[6, 1, 12, 10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 7, 12, 12, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[34, 34, 34, 34, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,89,0,0,0,0,0,0,0
"('Case 1010', 1)","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,86,0,0,0,1,0,0,0
"('Case 1010', 2)","[1, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[37, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,86,0,0,0,1,0,0,0
"('Case 1010', 3)","[1, 12, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 12, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[37, 37, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,86,0,0,0,0,0,0,0
"('Case 1010', 4)","[1, 12, 8, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 12, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[37, 37, 37, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,86,0,0,0,0,0,0,0
"('Case 1010', 5)","[1, 12, 8, 10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 12, 1, 1, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[37, 37, 37, 41, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,86,0,0,0,0,0,0,0
"('Case 1011', 1)","[6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,71,0,0,0,0,0,0,0
"('Case 1011', 2)","[6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[47, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,71,0,0,0,0,0,0,0
"('Case 1011', 3)","[6, 1, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[47, 47, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,71,0,0,0,0,0,0,0
"('Case 1011', 4)","[6, 1, 12, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 7, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[47, 47, 47, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,71,0,0,0,0,0,0,0
"('Case 1011', 5)","[6, 1, 12, 10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 7, 7, 7, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[47, 47, 47, 47, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,71,0,0,0,0,0,0,0
"('Case 1012', 1)","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,92,0,0,0,0,0,0,0
"('Case 1012', 2)","[1, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[30, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,92,0,0,0,0,0,0,0
"('Case 1012', 3)","[1, 12, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12, 12, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[30, 30, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,92,0,0,0,0,0,0,0
"('Case 1012', 4)","[1, 12, 10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12, 12, 12, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[30, 30, 30, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,92,0,0,0,0,0,0,0
"('Case 1013', 1)","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,89,1,0,0,0,0,0,0
"('Case 1013', 2)","[1, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,89,1,0,0,0,0,0,0
"('Case 1013', 3)","[1, 10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 22, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 10, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,89,1,0,0,0,0,0,0
"('Case 1014', 1)","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,383,1,0,0,0,0,0,1
"('Case 1014', 2)","[1, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[21, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,383,1,0,0,0,0,0,1
"('Case 1014', 3)","[1, 12, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[21, 19, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9, 9, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,383,1,0,0,0,0,0,0
